id,uuid,user_id,created_at,url,image_url,description,oauth_application_id,place_guess,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
89783540,94555cfc-dd6a-423e-aa82-97f1f4cffc49,2427871,2021-08-03 17:19:29 +0200,https://www.inaturalist.org/observations/89783540,https://inaturalist-open-data.s3.amazonaws.com/photos/148300191/medium.jpg,,,"Lincoln Park, Chicago, IL, USA",Northern Cardinal,Cardinalis cardinalis,Northern Cardinal,Aves,9083
208922555,f92e77ac-fc25-48f7-8715-7ed9c35c2171,2164440,2024-04-23 19:10:17 +0200,https://www.inaturalist.org/observations/208922555,https://inaturalist-open-data.s3.amazonaws.com/photos/369690094/medium.jpeg,,,"Cook County, US-IL, US",Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,Aves,10470
93661199,d4891e3c-ddbe-427b-961f-02f972bfc2f5,1253538,2021-09-05 03:07:14 +0200,https://www.inaturalist.org/observations/93661199,https://static.inaturalist.org/photos/155265123/medium.jpeg,,2,"Ravenswood Gardens, Chicago, IL, USA",Double-crested Cormorant,Nannopterum auritum,Double-crested Cormorant,Aves,1454382
245287795,1dbe48e7-1f62-4477-b095-6d29d9da22ff,2935619,2024-10-02 21:54:16 +0200,https://www.inaturalist.org/observations/245287795,https://inaturalist-open-data.s3.amazonaws.com/photos/437674740/medium.jpeg,,3,"Lincoln Park, Chicago, IL, US",Great Blue Heron,Ardea herodias,Great Blue Heron,Aves,4956
39281097,8cea4448-6b78-45bc-a60c-15e604194b2d,2168967,2020-02-27 17:23:20 +0100,https://www.inaturalist.org/observations/39281097,,"4
Biology, 2nd Period",,6201 S. Stewart Ave,Chipping Sparrow,Spizella passerina,Chipping Sparrow,Aves,9135
105597019,c1cb6bf1-5b02-4e61-a983-a15dee8ebfda,380398,2022-01-26 06:07:34 +0100,https://www.inaturalist.org/observations/105597019,https://inaturalist-open-data.s3.amazonaws.com/photos/177210797/medium.jpg,,,"1521 S Linn White Dr, Chicago, IL 60605, USA",Dickcissel,Spiza americana,Dickcissel,Aves,10676
76193091,a0a2ead0-427d-4372-8713-ff2c872c8eb1,4332347,2021-05-01 18:40:06 +0200,https://www.inaturalist.org/observations/76193091,https://static.inaturalist.org/photos/124646234/medium.jpeg,,2,"Bridgeport, Chicago, IL, USA",Mallard,Anas platyrhynchos,Mallard,Aves,6930
94584411,50a23cd3-cc0e-4617-a036-9e617a0eb84b,762683,2021-09-12 17:44:20 +0200,https://www.inaturalist.org/observations/94584411,https://static.inaturalist.org/photos/156915022/medium.jpeg,,,"Uptown, Chicago, IL, USA",Red-eyed Vireo,Vireo olivaceus,Red-eyed Vireo,Aves,891704
217383655,c6de1958-ad83-489c-8fb0-c7fcb6f638f9,917650,2024-05-22 01:01:20 +0200,https://www.inaturalist.org/observations/217383655,https://inaturalist-open-data.s3.amazonaws.com/photos/384561875/medium.jpg,,,"Uptown, Chicago, IL, USA",Blue-winged Teal,Spatula discors,Blue-winged Teal,Aves,558433
114924325,f929d957-e85d-46d5-9ede-a12fe5e605a1,8882,2022-05-03 01:19:43 +0200,https://www.inaturalist.org/observations/114924325,,,3,"Lincoln Park, Chicago, IL, US",,Passer domesticus,House Sparrow,Aves,13858
